Sample	Experiment	Condition
A1636rep1	dualRNA	A1636
A1636rep2	dualRNA	A1636
A1636rep3	dualRNA	A1636
CP255rep1	dualRNA	CP255
CP255rep2	dualRNA	CP255
CP255rep3	dualRNA	CP255
D7795rep1	dualRNA	D7795
D7795rep2	dualRNA	D7795
D7795rep3	dualRNA	D7795
NICrep1	dualRNA	NIC
NICrep2	dualRNA	NIC
NICrep3	dualRNA	NIC
NICrep4	dualRNA	NIC
NICrep5	dualRNA	NIC
NICrep6	dualRNA	NIC
P125109rep1	dualRNA	P125109
P125109rep2	dualRNA	P125109
P125109rep3	dualRNA	P125109
P125109rep4	dualRNA	P125109
P125109rep5	dualRNA	P125109
P125109rep6	dualRNA	P125109
474rep1	dualRNA	474
474rep2	dualRNA	474
474rep3	dualRNA	474
D23580rep1	dualRNA	D23580
D23580rep2	dualRNA	D23580
D23580rep3	dualRNA	D23580
D23580rep4	dualRNA	D23580
D23580rep5	dualRNA	D23580
ZM9rep1	dualRNA	ZM9
ZM9rep2	dualRNA	ZM9
ZM9rep3	dualRNA	ZM9
D7795_24hpi_rep1	haiE_host	D7795_24hpi
D7795_24hpi_rep2	haiE_host	D7795_24hpi
D7795_24hpi_rep3	haiE_host	D7795_24hpi
D7795_8hpi_rep1	haiE_host	D7795_8hpi
D7795_8hpi_rep2	haiE_host	D7795_8hpi
D7795_8hpi_rep3	haiE_host	D7795_8hpi
DhaiE_24hpi_rep1	haiE_host	DhaiE_24hpi
DhaiE_24hpi_rep2	haiE_host	DhaiE_24hpi
DhaiE_24hpi_rep3	haiE_host	DhaiE_24hpi
DhaiE_8hpi_rep1	haiE_host	DhaiE_8hpi
DhaiE_8hpi_rep2	haiE_host	DhaiE_8hpi
DhaiE_8hpi_rep3	haiE_host	DhaiE_8hpi
NIC_24hpi_rep1	haiE_host	NIC_24hpi
NIC_24hpi_rep2	haiE_host	NIC_24hpi
NIC_24hpi_rep3	haiE_host	NIC_24hpi
NIC_8hpi_rep1	haiE_host	NIC_8hpi
NIC_8hpi_rep2	haiE_host	NIC_8hpi
NIC_8hpi_rep3	haiE_host	NIC_8hpi
